98,99,100,101,102,103,104,103,856,857,109,110,111,112,113,114,115,108,109,110,111,112,113,114,115,106,106,107,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,694,695,697,697,697,697,697,697,698,699,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
130,131,132,133,134,135,136,135,888,889,141,142,143,144,145,146,147,140,141,142,143,144,856,857,147,138,138,139,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,662,663,697,697,697,697,697,697,698,699,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,744,745,746,747,748,749,32,33,32,33,32,33
162,856,857,165,792,793,168,167,920,921,173,174,175,792,793,178,179,172,173,174,175,176,888,889,179,170,170,171,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,694,695,697,697,697,697,697,697,698,699,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,776,777,778,779,780,781,0,1,0,1,0,1
194,888,889,197,824,825,200,199,952,953,205,206,207,824,825,210,211,204,792,793,207,208,920,921,211,202,202,203,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,662,663,697,697,697,697,697,697,698,699,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,808,809,810,811,812,813,32,33,32,33,32,33
226,920,921,229,230,792,793,231,231,231,237,238,239,240,241,242,243,236,824,825,239,240,952,953,243,234,234,235,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,694,695,697,697,697,697,697,697,698,699,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,846,847,848,849,840,841,842,843,844,845,0,1,0,1,0,1
258,952,953,261,262,824,825,263,263,263,269,270,271,272,273,274,275,268,269,270,271,272,273,274,275,266,266,267,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,694,695,697,697,697,697,697,697,698,699,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,878,879,880,881,872,873,874,875,876,877,32,33,32,33,32,33
290,291,292,293,294,295,296,297,298,300,301,302,303,304,305,306,307,300,301,302,303,304,305,306,307,298,298,299,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,694,695,697,697,697,697,697,697,698,699,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,910,911,912,913,904,905,906,907,908,909,0,1,0,1,0,1
322,323,324,325,326,327,328,329,330,332,333,334,335,336,337,338,339,332,333,334,335,336,337,338,339,330,330,331,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,662,663,697,697,697,697,697,697,698,699,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,942,943,944,945,936,937,938,939,940,941,32,33,32,33,32,33
354,355,356,357,358,359,360,361,362,364,365,366,367,368,369,370,371,364,365,366,367,368,369,370,371,362,363,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,662,663,697,697,697,697,697,697,698,699,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,974,975,976,977,968,969,970,971,972,973,0,1,0,1,0,1
386,387,388,389,390,391,392,393,394,396,397,398,399,400,401,402,403,396,397,398,399,400,401,402,403,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,694,695,697,697,697,697,697,697,698,699,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,1006,1007,1008,1009,1000,1001,1002,1003,1004,1005,32,33,32,33,32,33
418,419,420,421,422,423,424,425,426,428,429,430,431,432,433,434,435,428,429,430,431,432,433,434,435,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,694,695,590,591,590,591,590,591,698,699,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,30,31,622,623,622,623,622,623,30,31,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33,32,33
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,30,31,149,117,85,53,21,21,30,31,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
